Team,AST,G,PTS,SHT,SOG,SOG%,CK,S%,PKM,PKA,YC,OPK,Season PCT,,,Name,PCT
Keokuk,15,41,97,146,80,51.20%,35,28.10%,4,7,0,0,0.222,,,Dallas Center-Grimes,1
Dallas Center-Grimes,62,105,272,431,243,43.20%,88,24.40%,3,4,1,0,1,,,Waverly-Shell Rock,0.9
Waverly-Shell Rock,57,83,223,363,222,37.40%,117,22.90%,4,4,0,0,0.9,,,Mount Vernon,0.895
Iowa Falls-Alden,69,82,233,337,223,36.80%,71,24.30%,5,2,0,0,0.842,,,Norwalk,0.81
Burlington,35,54,143,262,151,35.80%,71,20.60%,2,1,1,0,0.647,,,Iowa Falls-Alden,0.842
Fort Madison,39,51,141,228,144,35.40%,72,22.40%,1,2,4,0,0.75,,,Lewis Central,0.714
Mount Pleasant,56,77,210,329,223,34.50%,67,23.40%,0,0,5,0,0.533,,,Spencer,0.789
Bondurant-Farrar,40,78,196,362,230,33.90%,71,21.50%,3,3,4,0,0.722,,,Independence,0.824
Atlantic,38,59,156,313,175,33.70%,59,18.80%,0,1,2,0,0.611,,,Bondurant-Farrar,0.722
Clear Creek Amana,24,44,112,255,133,33.10%,95,17.30%,10,12,0,0,0.556,,,Carlisle,0.812
Winterset/Earlham,74,64,202,216,197,32.50%,66,29.60%,0,0,1,0,0.444,,,North Polk,0.722
Iowa City Liberty,36,45,126,209,139,32.40%,44,21.50%,1,1,1,0,0.444,,,Xavier,0.765
North Polk,38,69,176,444,241,28.60%,84,15.50%,0,0,3,0,0.722,,,Fort Madison,0.75
Norwalk,84,96,276,493,353,27.20%,75,19.50%,0,0,0,0,0.81,,,North Scott,0.658
Decorah,11,22,55,148,84,26.20%,31,14.90%,2,5,0,0,0.278,,,Atlantic,0.611
Des Moines Hoover,11,33,77,272,136,24.30%,45,12.10%,3,4,3,0,0.5,,,Burlington,0.647
Pella,24,49,122,336,227,21.60%,87,14.60%,0,0,0,0,0.588,,,Glenwood,0.688
Newton,35,57,149,306,266,21.40%,55,18.60%,2,2,2,0,0.647,,,Newton,0.647
Denison-Schleswig,36,40,116,320,208,19.20%,58,12.50%,1,3,1,0,0.368,,,ADM,0.556
Webster City,9,22,53,163,121,18.20%,29,13.50%,3,13,1,0,0.235,,,Clear Creek Amana,0.556
Cedar Rapids Washington,4,7,18,80,42,16.70%,12,8.80%,0,0,1,0,0.125,,,Pella,0.588
North Scott,33,51,135,15,311,16.40%,68,340.00%,10,11,0,0,0.658,,,Burlington Notre Dame,0.529
ADM,22,36,94,257,236,15.30%,96,14.00%,3,3,2,0,0.556,,,Ballard,0.533
Central DeWitt,5,20,45,134,20,100.00%,20,14.90%,1,0,2,0,0.235,,,Des Moines Hoover,0.5
Spencer,61,122,305,276,207,58.90%,91,44.20%,1,0,0,0,0.789,,,Iowa City Liberty,0.444
Burlington Notre Dame,37,48,133,257,110,43.60%,58,18.70%,0,0,0,0,0.529,,,Mount Pleasant,0.533
Carlisle,51,86,223,320,219,39.30%,60,26.90%,0,1,1,0,0.812,,,Winterset/Earlham,0.444
Ballard,13,63,139,322,167,37.70%,73,19.60%,0,0,1,0,0.533,,,Denison-Schleswig,0.368
Lewis Central,63,100,263,441,271,36.90%,91,22.70%,1,2,1,0,0.714,,,Gilbert,0.438
Independence,70,78,226,256,215,36.30%,73,30.50%,1,2,2,0,0.824,,,LeMars,0.538
Gilbert,24,44,112,253,140,31.40%,40,17.40%,2,1,0,0,0.438,,,Marion,0.375
LeMars,6,26,58,24,84,31.00%,5,108.30%,2,0,3,0,0.538,,,Boone,0.294
Xavier,80,85,250,393,274,31.00%,85,21.60%,2,2,1,0,0.765,,,Decorah,0.278
Clinton,12,18,48,113,60,30.00%,49,15.90%,2,2,0,0,0.214,,,Spirit Lake,0.385
Oskaloosa,3,9,21,60,30,30.00%,0,15.00%,1,1,1,0,0.125,,,Carroll,0.235
Glenwood,46,65,176,379,222,29.30%,73,17.20%,1,1,4,0,0.688,,,Central DeWitt,0.235
Spirit Lake,22,26,74,154,89,29.20%,50,16.90%,1,1,1,0,0.385,,,Keokuk,0.222
Marion,33,40,113,220,140,28.60%,37,18.20%,0,2,0,0,0.375,,,Webster City,0.235
Carroll,5,14,33,101,54,25.90%,24,13.90%,2,3,1,0,0.235,,,Clinton,0.214
Collins-Maxwell,6,18,42,136,83,21.70%,23,13.20%,1,1,0,0,0.231,,,Collins-Maxwell,0.231
Fairfield,8,12,32,124,71,16.90%,38,9.70%,0,2,0,0,0.067,,,Sheldon Sibley-Ocheyedan,0.2
South Tama,8,9,26,102,58,15.50%,23,8.80%,0,1,1,0,0.176,,,South Tama,0.176
Storm Lake,1,4,9,57,30,13.30%,17,7.00%,0,0,0,0,0,,,Cedar Rapids Washington,0.125
Sheldon Sibley-Ocheyedan,6,13,32,158,111,11.70%,0,8.20%,1,1,1,0,0.2,,,Oskaloosa,0.125
Creston,0,1,2,22,14,7.10%,3,4.50%,0,0,0,0,0,,,Perry,0.118
Boone,13,23,59,161,126,18.30%,10,14.30%,0,0,0,0,0.294,,,Fairfield,0.067
Mount Vernon,61,106,273,464,306,34.60%,0,22.80%,4,4,0,0,0.895,,,Creston,0
Perry,,7,,,,,,,,,,,0.118,,,Storm Lake,0
